PUBID,SQFT,LnAreaT,ADJWT,SiteEUI,SourceEUI,WKHRS,NWKER,PCNUM,PcDensT,Bank50,HDD,HEATP,CDD,COOLP,WiFridge,OpFridge,ClFridge,ReFridge,VnFridge,NFLOORS
4410,94000,11.451,72.3,47.05430851,157.1613904,65,200,190,2.021,0,4986,100,1589,100,0,0,0,0,0,6
4426,176000,12.078,76.17,42.54134659,132.2140227,60,500,78,0.443,0,1831,100,2304,100,3,6,0,8,2,7
4434,62000,11.035,39.99,95.80533871,253.3851363,45,75,80,1.29,0,1682,90,672,90,2,0,4,15,2,2
4450,27000,10.204,377.81,40.0517037,87.94453759,45,66,60,2.222,0,3421,100,1232,100,0,0,0,2,1,1
4458,72000,11.184,88.09,97.28591667,320.502306,50,250,70,0.972,0,983,50,1700,100,0,0,0,3,1,9
4470,5800,8.666,2996.93,60.62086207,151.0752936,40,36,21,3.621,0,2030,100,653,100,0,0,0,1,0,1
4480,5400,8.594,2383.83,51.14185185,106.107873,40,10,12,2.222,0,6498,100,643,100,0,0,0,1,0,1
4490,55000,10.915,190.78,76.72056364,256.2466825,55,200,50,0.909,0,955,100,3638,100,0,1,0,0,5,3
4505,32500,10.389,780.38,67.21206154,184.5242971,45,16,23,0.708,1,4216,100,1530,100,0,0,0,0,0,2
4507,67000,11.112,221.72,74.5051791,140.4028935,60,120,120,1.791,0,5723,100,746,100,0,0,3,3,1,4
4519,6000,8.7,2996.93,25.01966667,83.56568667,40,8,4,0.667,0,1068,100,1703,90,0,2,0,0,0,2
4529,100000,11.513,80.53,115.2449,383.6867707,168,450,500,5,0,6304,100,580,100,2,0,0,20,6,3
4534,39000,10.571,780.38,236.0219744,691.1556331,45,235,263,6.744,0,4786,100,934,95,0,0,0,5,5,3
4536,68000,11.127,80.53,85.59229412,212.2961621,110,203,220,3.235,0,4160,100,311,100,0,0,0,3,8,3
4555,235000,12.206,46.81,129.3575915,363.8772208,168,1224,1200,5.106,0,6984,100,404,98,4,2,12,6,5,4
4562,100000,11.513,80.53,107.84682,274.1108377,168,330,320,3.2,0,6309,100,794,99,0,0,0,9,6,3
4565,22000,9.999,869.22,132.2944545,340.0129657,168,110,120,5.455,0,5807,100,579,20,2,0,0,20,2,3
4576,7800,8.962,2459.66,60.29961538,147.2086001,40,25,20,2.564,0,7912,100,900,100,0,0,0,1,1,2
4591,58000,10.968,469.34,107.2826207,243.5355033,50,60,15,0.259,0,5909,0,737,33,0,0,2,0,1,1
4596,11750,9.372,2459.66,86.97310638,130.0144155,45,5,6,0.511,1,7972,100,362,100,0,0,0,1,0,3
4611,18250,9.812,364.2,94.19506849,275.2186109,80,150,55,3.014,0,1263,100,2762,100,0,0,0,0,1,3
4622,300000,12.206,42.03,99.23759667,221.7219923,66,500,270,0.9,0,5585,100,759,100,2,0,0,40,10,20
4674,6000,8.7,869.22,140.2608333,332.8516983,60,50,20,3.333,0,5957,100,734,0,0,0,0,0,0,3
4700,285000,12.206,73.78,62.69194737,106.7824159,40,280,225,0.789,0,8131,100,702,20,0,0,0,0,7,3
4707,31500,10.358,406.42,97.74368254,172.6634361,50,40,40,1.27,0,5793,100,657,100,2,0,0,2,1,4
4722,93000,11.44,88.09,43.09624731,116.0554547,50,555,250,2.688,0,2120,100,1477,100,0,0,0,4,0,3
