BldgID,Area,ADJWT,SourceEUI,UnitDen,CapFactor,LiftDen,WkrDen,PcDen,CFDen,CWDen,RWDen,RWDenT,CDD,HDD,CoolP,HeatP
308,34000,1.1,336.2,2.471,73,0,0.412,0.235,0.088,0,0.059,0.059,484,1417,100,100
309,95000,1.1,203.4,1.568,57,0,0.326,0.137,0.126,0,0.147,0.147,420,5804,100,100
310,37628,1.1,144,3.588,64,0,0.505,0.213,0.08,0,0.08,0.08,85,3070,100,100
311,76000,1.1,179.5,2.026,53,0,0.355,0.184,0.145,0,0.118,0.118,584,5594,100,100
312,69926,1.1,262.6,1.974,63,0,0.286,0.1,0.057,0,0.072,0.072,484,1417,100,100
313,56695,1.1,121,2.293,61,0,0.37,0.123,0.053,0.018,0.071,0.071,484,1417,100,100
314,53700,1.1,185.7,1.527,63,0,0.41,0.205,0.093,0.019,0.056,0.056,445,5763,100,100
315,80800,1.1,169.6,1.597,58,0,0.248,0.099,0.05,0.037,0.099,0.099,562,6496,100,100
316,160810,1.1,105.8,1.561,80,0,0.298,0.081,0.031,0.006,0.062,0.062,989,2671,100,100
317,65000,1.1,133.9,0.923,70,0,0.231,0.123,0.077,0,0.092,0.092,696,1118,100,100
318,80000,1.1,171.6,1.05,95,0,0.4,0.138,0.175,0,0.05,0.05,928,4844,100,100
319,85000,1.1,232,1.659,61,0,0.365,0.141,0.071,0.118,0.024,0.024,481,6083,100,100
320,79000,1.1,155.5,1.253,67,0,0.354,0.139,0.089,0.025,0.038,0.038,386,6629,100,100
321,174046,1.1,124,1.735,48,0,0.207,0.069,0.029,0.006,0.017,0.017,696,1118,100,100
322,161585,1.1,171.2,0.947,67,0,0.204,0.087,0.05,0.012,0.05,0.05,481,6083,100,100
323,74033,1.1,144.9,1.918,70,0,0.324,0.149,0.054,0.014,0.054,0.054,989,2671,100,100
324,127803,1.1,90.2,1.745,53,0,0.156,0.086,0.023,0.016,0.047,0.047,562,6446,100,100
325,91000,1.1,200.9,1.516,55,0,0.374,0.154,0.088,0,0.154,0.154,481,6083,100,100
326,78000,1.1,160,1.603,69,0,0.346,0.154,0.077,0.013,0.051,0.051,420,5804,100,100
327,83809,1.1,181,1.611,81,0,0.382,0.167,0.084,0.012,0.06,0.06,445,5763,100,100
328,92000,1.1,134.3,1.141,72,0,0.337,0.152,0.065,0.011,0.043,0.043,445,5763,100,100
329,84635,1.1,198.7,1.619,70,0,0.425,0.142,0.024,0.012,0.083,0.083,445,5763,100,100
330,107900,1.1,190.8,2.067,55,0,0.222,0.111,0.037,0.009,0.056,0.056,989,2671,100,100
331,99740,1.1,206.1,1.835,59,0,0.241,0.09,0.05,0.01,0.12,0.12,1002,4949,100,100
332,55000,1.1,320.5,1.927,66,0,0.509,0.2,0.127,0,0.055,0.055,584,5594,100,100
333,107296,1.1,148.6,1.967,62,0,0.242,0.093,0.047,0.009,0.093,0.093,484,1417,100,100
334,67000,1.1,123.1,2.179,61,0,0.343,0.119,0.045,0.06,0,0,484,1417,100,100
335,110000,1.1,170.6,1.736,57,0,0.209,0.091,0.045,0.009,0.064,0.064,3862,1969,100,100
336,113548,1.1,105.3,1.576,49,0,0.203,0.062,0.035,0.009,0.053,0.053,562,6446,100,100
337,209719,1.1,132.6,1.311,49,0,0.215,0.076,0.043,0.014,0.124,0.124,584,5594,100,100
338,54000,1.1,255.3,1.722,67,0,0.259,0.167,0.056,0.019,0.056,0.056,1142,4834,100,100
339,61478,1.1,150.5,2.44,66,0,0.439,0.146,0.081,0.016,0.081,0.081,85,3070,100,100
340,115000,1.1,147,1.817,51,0,0.2,0.07,0.043,0,0.104,0.104,3862,1969,100,100
341,80387,1.1,133.7,1.916,54,0,0.249,0.087,0.05,0.012,0.149,0.149,989,2671,100,100
342,102000,1.1,219.3,1.637,73,0,0.333,0.137,0.059,0.02,0.196,0.16,928,4844,100,100
343,96478,1.1,142.4,1.783,67,0,0.249,0.073,0.052,0,0.041,0.041,989,2671,100,100
344,119036,1.1,132.7,1.596,55,0,0.286,0.076,0.042,0,0.118,0.118,1359,3679,100,100
345,105057,1.1,166.4,2.094,58,0,0.209,0.114,0.048,0.01,0.057,0.057,484,1417,100,100
346,175000,1.1,248.7,0.429,96,0,0.337,0.114,0.034,0.006,0.606,0.16,584,5594,100,100
347,112516,1.1,165.8,1.715,63,0,0.284,0.089,0.053,0.009,0.062,0.062,453,5713,100,100
348,73368,1.1,143.8,1.704,62,0,0.327,0.177,0.095,0.014,0.055,0.055,420,5804,100,100
349,68700,1.1,290.4,1.79,59,0,0.451,0.204,0.058,0,0.102,0.102,584,5594,100,100
350,106901,1.1,156.1,1.609,65,0,0.318,0.103,0.075,0.009,0.065,0.065,420,5804,100,100
351,205590,1.1,147,1.819,55,0,0.19,0.058,0.024,0.015,0.039,0.039,3398,548,100,100
352,53000,1.1,161.1,1.943,55,0,0.264,0.17,0.094,0.075,0,0,989,2671,100,100
353,68136,1.1,282.1,1.835,79,0,0.572,0.22,0.029,0.029,0.015,0.015,584,5594,100,100
354,66366,1.1,153.1,1.356,55,0,0.271,0.166,0.015,0.015,0.06,0.06,1746,2806,100,100
355,66063,1.1,231.9,1.938,65,0,0.378,0.151,0.03,0.015,0.106,0.106,2934,1915,100,100
356,59509,1.1,191.2,1.832,66,0,0.353,0.118,0.084,0.034,0.269,0.16,2934,1915,100,100
357,180000,1.1,52.9,1.389,46,0,0.139,0.056,0.028,0.006,0.072,0.072,989,2671,100,100
358,112395,1.1,293.4,2.482,74,0,0.516,0.151,0.044,0.036,0.018,0.018,932,4915,100,100
359,48276,1.1,338.6,2.651,54,0,0.476,0.186,0.062,0,0.124,0.124,386,6629,100,100
360,35856,1.1,162.1,1.869,70,0,0.418,0.195,0.084,0,0.112,0.112,3058,1190,100,100
361,113700,1.1,260.2,1.319,87,0,0.325,0.097,0.026,0.018,0.026,0.026,584,5594,100,100
362,45342,1.1,193.3,1.786,67,0,0.397,0.221,0.066,0.022,0.11,0.11,1141,4648,100,100
363,168160,1.1,140.4,1.826,60,0,0.297,0.077,0.03,0.012,0.042,0.042,3398,548,100,100
364,37466,1.1,203.4,1.815,69,0,0.507,0.267,0.133,0.107,0,0,1965,2582,100,100
365,93857,1.1,128.8,1.769,52,0,0.245,0.075,0.064,0.011,0.117,0.117,484,1417,100,100
366,64187,1.1,213.3,1.823,69,0,0.28,0.203,0.047,0.016,0.125,0.125,2934,1915,100,100
367,103005,1.1,279.1,1.903,64,0,0.379,0.116,0.058,0.019,0.039,0.039,928,4844,100,100
368,33803,1.1,318.8,2.248,88,0,0.74,0.266,0.03,0,0.089,0.089,257,6664,100,100
369,69540,1.1,163,1.481,69,0,0.417,0.173,0.058,0.014,0.043,0.043,420,5804,100,100
370,62945,1.1,311.5,4.035,47,0,0.461,0.111,0.064,0.016,0.079,0.079,1002,4949,100,100
371,94495,1.1,108.2,2.042,53,0,0.233,0.095,0.053,0.021,0.053,0.053,484,1417,100,100
372,71169,1.1,147.5,1.644,74,0,0.393,0.169,0.056,0.028,0.014,0.014,584,5594,100,100
373,40000,1.1,159.5,1.6,77,0,0.45,0.225,0.05,0,0.15,0.15,1746,2806,100,100
374,61515,1.1,182.1,1.561,69,0,0.293,0.163,0.081,0.016,0.13,0.13,154,7107,100,100
375,133583,1.1,181.5,1.639,62,0,0.397,0.09,0.105,0.022,0.022,0.022,928,4844,100,100
376,38140,1.1,158.5,1.835,79,0,0.472,0.21,0.052,0,0.052,0.052,3058,1190,100,100
377,89000,1.1,113.3,1.899,61,0,0.292,0.112,0.056,0.011,0.09,0.09,484,1417,100,100
378,81724,1.1,199.3,2.056,57,0,0.428,0.147,0.037,0.024,0.024,0.024,928,4844,100,100
379,47300,1.1,147,1.987,82,0,0.55,0.169,0.233,0,0.106,0.106,1039,4737,100,100
380,107000,1.1,153.1,1.505,65,0,0.327,0.121,0.065,0.009,0.084,0.084,445,5763,100,100
381,160381,1.1,129.9,1.64,51,0,0.218,0.062,0.037,0.012,0.056,0.056,3747,257,100,100
382,65000,1.1,208.8,1.708,72,0,0.415,0.169,0.077,0.031,2.308,0.16,445,5763,100,100
383,66442,1.1,197.4,1.942,64,0,0.271,0.151,0.09,0.015,0.105,0.105,1336,4518,100,100
384,58602,1.1,155.8,1.843,82,0,0.41,0.154,0.068,0,0.068,0.068,307,6690,100,100
385,65718,1.1,209.8,1.643,68,0,0.456,0.137,0.046,0.015,0.107,0.107,2335,1588,100,100
386,35375,1.1,276.6,2.092,92,0,0.876,0.254,0.057,0,0.17,0.16,1445,3819,100,100
387,87000,1.1,171.8,1.782,58,0,0.448,0.161,0.011,0.023,0.023,0.023,386,6629,100,100
388,58980,1.1,273.5,2.052,84,0,0.458,0.17,0.017,0.034,0.034,0.034,591,5779,100,100
389,65053,1.1,190.4,1.691,62,0,0.354,0.169,0.077,0.015,0.061,0.061,1504,4272,100,100
390,65748,1.1,182,1.703,50,0,0.304,0.152,0.061,0.015,0.061,0.061,1504,4272,100,100
391,65718,1.1,185.9,1.856,62,0,0.35,0.167,0.076,0.091,0,0,1504,4272,100,100
392,86674,1.1,246.9,1.719,50,0,0.496,0.138,0.058,0.023,0.035,0.035,584,5594,100,100
393,44865,1.1,212.7,1.939,67,0,0.379,0.178,0.045,0.022,0.067,0.067,3058,1190,100,100
394,65053,1.1,211.4,1.799,65,0,0.446,0.138,0.108,0.015,0.092,0.092,1002,4949,100,100
