PUBID,SQFT,ADJWT,Site,Source,WKHRS,NWKER,PCNUM,WiF,Reg,RegDens,RegDensT,OpF,ClF,HDD,CDD,HEATP,COOLP
4692,40000,570.73,33.6049,51.6581855,50,5,1,0,0,0,0,0,0,4125,1395,100,90
4717,7000,869.22,137.3557143,323.0359161,70,7,1,0,1,0.142857143,0.142857143,0,0,5337,858,100,100
4734,5400,2544.74,41.42981481,138.3755815,60,4,3,0,2,0.37037037,0.37037037,0,0,731,3367,100,100
4762,8000,2314.83,41.290125,66.7205395,36,1,2,0,0,0,0,0,0,3733,1580,100,100
4780,8600,808.04,39.8794186,70.8788507,46,4,2,0,0,0,0,0,0,4254,1435,100,30
4911,23000,69.29,75.65026087,240.7281328,72,10,7,0,0,0,0,0,0,1980,3000,100,100
4926,13000,2314.83,49.66523077,110.9987394,55,10,9,0,5,0.384615385,0.384615385,0,0,2607,1876,35,35
4937,18000,376.69,11.54394444,38.55677444,50,6,4,0,1,0.055555556,0.055555556,0,0,220,4045,0,15
5047,176000,198.45,91.769125,296.9988163,66,150,75,0,150,0.852272727,0.71,0,11,2368,2572,100,100
5119,24000,869.22,60.99904167,142.6941774,72,16,5,0,0,0,0,0,0,8174,320,100,100
5197,25000,1077.88,57.66348,192.5960232,80,10,2,0,8,0.32,0.32,0,0,2117,1939,100,100
5232,50000,788.34,9.34592,17.39968092,49,3,2,0,0,0,0,0,0,7141,450,90,80
5245,45000,873.18,154.4042667,462.8440423,72,30,2,0,25,0.555555556,0.555555556,0,0,7759,625,100,100
5262,50000,201.09,74.33008,146.5643401,81,30,3,0,5,0.1,0.1,0,0,5861,985,100,100
5283,5000,2463.5,53.02,91.5542312,58,2,3,0,2,0.4,0.4,0,0,6363,252,100,30
5385,32000,81.35,100.1855313,141.9469099,46,16,0,0,4,0.125,0.125,0,0,6885,518,100,50
5390,12000,734.43,80.17358333,212.2434994,48,8,1,0,0,0,0,0,0,3216,1984,100,90
5410,12000,950.84,13.93691667,43.27891042,55,9,3,0,0,0,0,0,0,1956,1626,10,10
5426,8800,2459.66,315.6252273,398.8806484,80,10,12,0,4,0.454545455,0.454545455,0,6,7343,508,80,80
5452,40000,381.66,72.97125,243.723975,72,20,15,0,0,0,0,0,0,3684,1006,100,100
5479,80000,343.4,20.047075,52.88499043,54,2,0,0,1,0.0125,0.0125,0,1,2909,2514,100,50
5545,5600,950.84,22.01910714,50.53601964,70,8,0,0,1,0.178571429,0.178571429,0,0,2243,224,75,25
5561,39500,408.27,92.5456962,253.280324,80,20,25,0,0,0,0,0,0,7825,728,100,40
5599,13750,363.08,19.79490909,27.79104509,45,1,0,0,1,0.072727273,0.072727273,0,0,8175,549,50,50
5639,5000,869.22,62.114,69.0672036,60,7,1,0,1,0.2,0.2,0,0,5448,961,60,50
5646,7700,199.37,29.65623377,39.55055532,45,1,1,0,1,0.12987013,0.12987013,0,0,6775,629,60,0
5662,6000,2544.74,35.37166667,118.1413667,89,5,3,0,1,0.166666667,0.166666667,0,0,151,4708,0,80
5684,8000,869.22,293.242875,452.5952486,61,10,9,0,2,0.25,0.25,0,0,7652,350,100,75
5688,15000,62.95,29.21733333,49.5004604,46,2,1,0,1,0.066666667,0.066666667,0,0,5989,775,100,65
5830,6000,869.22,166.5463333,333.2529237,67,4,4,0,2,0.333333333,0.333333333,0,0,7332,560,100,100
5855,6100,734.43,49.60147541,127.959979,40,1,1,0,1,0.163934426,0.163934426,0,0,2537,2030,100,100
5911,12000,780.38,62.68316667,127.0918902,56,5,5,0,0,0,0,0,0,6937,601,70,70
5965,5500,2739.65,17.25909091,26.95482745,66,2,0,0,1,0.181818182,0.181818182,0,0,5332,934,100,100
6047,14500,776.54,50.22206897,167.7417103,70,6,1,0,0,0,0,0,0,4373,1153,80,80
6069,16000,617.89,13.4170625,44.81298875,60,7,3,0,0,0,0,0,0,2187,1701,30,30
6115,9600,734.43,38.45645833,79.2666476,52,8,4,0,1,0.104166667,0.104166667,0,1,2884,1424,100,50
6162,58000,220.48,104.8070862,246.5455544,66,25,1,0,11,0.189655172,0.189655172,0,0,7400,680,100,75
6199,40000,764.03,31.168225,79.13121615,56,10,4,0,0,0,0,0,0,7408,573,100,75
