PUBID8,SQFT,ADJWT,PBA,PBAPLUS,WKHRS,NWKER,PCNUM,NoWFridge,RWH,NonRWH,DistCtr,nRWH,HDD,HEATP,CDD,COOLP,SiteEUI,SourceEUI,PropSiteEUI,SmallPropane,WFDens
5261,184000,72.3,5,9,130,110,70,0,0,0,1,1,6828,100,736,50,54.64075543,159.6430381,0,1,0
5306,12000,807.37,5,9,65,15,14,0,0,0,1,1,224,0,4479,50,30.28008333,101.1354783,0,1,0
5331,17500,864.37,5,9,54,15,15,0,0,0,1,1,5982,100,900,35,115.6644,195.5578746,0,1,0
5389,68000,329.6,5,9,40,14,11,0,0,0,1,1,992,0,3779,5,8.235161765,27.50544029,0,1,0
5393,150000,75.21,5,9,85,21,1,0,0,0,1,1,2985,100,1434,100,53.20102,139.8818394,0,1,0
5409,300000,24.59,5,9,55,60,15,0,0,0,1,1,2316,80,2582,20,22.58521667,39.87566629,0,1,0
5432,7200,1433.2,5,10,40,9,,0,0,1,0,1,5417,0,905,0,19.82083333,66.20158333,0,1,0
5463,8200,2724.37,5,10,48,3,1,0,0,1,0,1,5812,100,889,25,43.8795122,89.41601073,0,1,0
5467,42500,156.64,5,9,168,5,2,0,0,0,1,1,7222,0,536,1,5.445223529,18.18704659,0,1,0
5520,5200,869.22,5,10,50,20,23,0,0,1,0,1,4585,100,250,45,59.3699681,197.3391236,0.410545024,1,0
5571,51000,734.43,5,9,45,24,15,0,0,0,1,1,2794,100,2284,25,36.01486275,71.92323716,0,1,0
5581,10000,2724.37,5,10,54,0,3,0,0,1,0,1,7875,10,369,10,34.1817,44.2136391,0,1,0
5638,10000,807.37,5,9,48,12,4,0,0,0,1,1,1134,20,3302,20,21.0808,58.0457867,0,1,0
5651,6000,781.6,5,10,60,2,1,0,0,1,0,1,5176,25,881,25,26.92283333,56.15571983,0,1,0
5750,22500,802.59,11,20,70,4,,1,1,0,0,0,6217,0,969,100,13.09844444,43.74880444,0,1,0.044444444
5758,205000,82.18,5,9,40,100,50,0,0,0,1,1,4726,100,1279,10,79.93426341,132.5099607,0,1,0
5760,17000,478.9,5,9,40,10,5,0,0,0,1,1,917,10,1718,10,18.58494118,62.07370353,0,1,0
5767,5000,2544.74,5,10,50,4,5,0,0,1,0,1,1710,50,2211,50,27.7758,92.771172,0,1,0
5796,26000,443.71,5,10,34,4,1,0,0,1,0,1,7394,10,532,10,13.07823077,32.97924242,0,1,0
5869,34000,205.44,5,10,58,12,9,0,0,1,0,1,710,39,3446,39,65.42861765,218.5315829,0,1,0
5892,19500,2141.61,5,9,102,3,2,0,0,0,1,1,7153,50,638,10,18.3845641,52.07313456,0,1,0
5917,87000,69.29,5,9,60,10,4,0,0,0,1,1,2654,100,2685,100,34.1148046,91.50914274,0,1,0
5925,100000,82.18,5,9,73,42,30,0,0,0,1,1,4781,100,1303,40,101.10496,250.3376996,0,1,0
6003,5700,2314.83,5,9,45,6,4,0,0,0,1,1,3187,75,1461,100,53.90596491,117.9160821,0,1,0
6016,50000,443.71,5,10,50,10,10,3,0,1,0,1,6249,100,498,0,56.59974,112.5697931,0,1,0.06
6028,25000,802.59,5,9,84,10,14,0,0,0,1,1,5089,20,861,20,21.69296,47.9436922,0,1,0
6071,110000,84.13,5,10,85,95,53,0,0,1,0,1,4775,100,1167,100,57.09140909,135.9761494,0,1,0
6074,89000,82.18,5,10,60,73,100,0,0,1,0,1,4827,30,1102,30,47.36621162,90.07759426,0.0239869,1,0
6092,17000,734.43,5,9,40,12,3,0,0,0,1,1,3647,100,1109,80,42.56847059,92.11575765,0,1,0
6112,25000,746.1,5,10,40,3,,0,0,1,0,1,4325,30,1506,0,49.41568,77.19904692,0,1,0
6148,600000,147.89,5,9,60,420,250,0,0,0,1,1,587,25,3529,25,28.84092167,96.16710452,0,1,0
