PUBID8,ADJWT,STRATUM,PAIR,Area,Site,Source,NWKER,WiFrig,OpFrig,ClFrig,Rooms,FoodRm,HDD,CDD,HEATP,COOLP
1591,460.92,57,2,8400,107.2219048,218.809128,2,0,0,0,35,0,2205,2874,100,100
1614,214.9,13,2,33000,127.8600303,174.7689979,5,1,0,0,50,1,6066,521,100,100
1681,402.35,19,2,35000,35.86945714,60.35743774,5,0,0,2,30,0,5435,1475,100,100
1880,135.43,37,1,100000,34.52939,65.89991065,50,4,1,1,125,1,6589,553,100,100
1894,419.28,31,2,21250,66.87355294,167.0535644,10,0,0,2,50,0,2663,2036,75,75
1911,503.46,34,2,20250,42.04360494,140.4256405,4,0,0,2,50,0,1738,2553,100,100
1931,135.43,8,2,120000,101.1085333,234.7683555,125,2,0,11,300,1,5656,1263,100,100
2141,419.28,25,1,15500,18.82058065,62.86073935,2,0,0,0,30,0,3052,1610,20,99
2178,211.83,56,2,170000,143.9597294,340.4753306,200,16,0,0,200,1,2418,1383,100,100
2182,716.76,31,2,36000,95.076,225.183931,35,2,0,5,80,1,3151,1301,100,100
2189,123.91,36,2,255000,147.2468392,379.7468425,200,7,0,4,350,1,1408,3128,100,100
2226,460.92,49,1,17250,67.33188406,190.9005169,4,0,0,0,35,0,1507,2903,100,100
2262,23.88,12,2,700000,64.39304571,136.8753136,100,10,0,0,500,1,7047,644,100,100
2321,115.1,30,2,205000,197.5987024,462.6294653,80,4,10,4,300,1,4347,1146,100,100
2333,1697.96,17,1,7000,207.4522857,390.862243,2,0,0,0,16,0,7520,676,100,100
2375,1697.96,17,2,5500,73.35581818,139.7703818,1,0,0,0,10,0,9928,673,100,100
2377,132.45,47,2,184000,23.71258696,63.59580158,14,0,0,0,175,1,1098,683,65,65
2378,352.05,13,1,12000,89.35858333,240.8723256,3,0,0,0,24,0,5173,805,75,100
2486,134.12,12,2,100000,34.35403,82.86989778,19,0,0,0,125,0,7525,553,100,100
2531,246.38,21,1,38000,110.3389737,285.3973451,9,0,0,8,70,0,4883,1031,100,90
2555,460.92,28,2,40000,69.69615,144.2207365,9,0,0,2,100,0,663,3166,95,95
2602,135.43,62,1,255000,94.10394118,222.6890541,100,6,0,15,350,1,1818,1627,100,100
2723,313.39,30,1,30000,74.1149,193.0359807,10,0,0,0,70,0,4174,865,100,100
2738,402.35,12,1,21000,77.477,169.6810672,5,0,0,0,45,0,7077,749,100,100
2821,456.4,37,1,9600,209.2017708,360.5961919,5,0,0,3,12,1,6977,447,100,100
2824,317.92,18,2,50000,124.2467,266.3635499,14,2,4,6,90,1,5768,1041,100,90
2937,402.35,17,2,25000,32.75516,86.74482624,3,0,0,0,30,0,8136,644,12,80
3046,135.43,47,2,180000,29.94028889,66.04970625,40,2,1,2,150,0,1569,779,75,100
3065,456.4,10,1,25000,71.28684,163.1661075,10,0,0,0,60,0,5751,779,40,85
3128,402.35,11,2,55000,98.80650909,199.0650737,39,0,0,0,100,1,8294,329,100,80
3146,419.28,25,1,20250,30.62948148,102.3024681,3,0,0,0,35,0,2630,2103,60,60
3179,331.3,31,2,25000,79.66312,211.8239502,11,0,0,0,50,0,3619,1623,100,100
3216,228.05,28,2,83000,115.8656506,332.639164,38,2,1,5,150,1,661,3377,55,55
3222,313.39,31,2,58000,70.42386207,205.6728059,14,0,0,0,80,0,3060,1786,100,100
